Dish Name,Carbohydrates (g),Protein (g),Fats (g)
Vegetable yakhni,1.94,1.18,43.8
Spinach mushroom (Palak mushroom),2.95,1.94,2.96
Vegetarian nargisi kofta curry,6.58,2.29,32.94
Roast chicken,0.1,20.49,13.06
Shahi chicken masala,4.07,9.82,12.02
Tomato chicken,2.13,10.57,6.71
Creamy chicken,3.13,13.52,9.57
Broccoli chicken ala king,5.34,7.97,7.57
Ginger chicken,5.6,8.24,8.24
Chicken sweet and sour,2.67,6.92,47.59
Chicken korma,5.43,9.83,9.67
Bengal fish curry (Bengali machli curry),4.42,7.26,7.03
Fish finger,4.47,5.66,55.82
Fish in coconut milk (Nariyal ke doodh ke saath machli),2.73,8.66,4.43
Prawn curry (with coconut) (Jhinga curry),3.1,8.54,6.93
Baked stuffed fish,2.12,16.14,5.43
Fish pie,7.74,9.25,5.77
Crispy baked fish,9.59,10.95,6.41
Fish souffle,5.14,10.51,8.55
Potato curry (Aloo ki sabzi),10.42,1.52,4.47
Egg curry (Anda curry),4.03,5.38,8.81
Vegetable curry with coconut ,7.19,2.77,4.66
Curd with potatoes (Dahi aloo),7.15,1.56,2.72
Potato kofta curry (Aloo kofta curry),2.78,0.56,49.08
Yam kofta curry (Zimikand/Suran kofta curry),3.75,0.71,33.84
Jackfruit kofta curry (Kathal ka kofta curry),3.17,0.8,33.83
Spinach and potato (Palak aloo),5.91,1.63,2.82
Mooli bhujia,4.74,1.69,7.25
Bathua bhujia,3.63,2.26,7.29
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),6.09,8.21,9.36
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),7.03,5.76,8.17
Dry arbi (Sookhi arbi),11.11,2.12,8.97
Masala arbi,16.16,3.01,11.9
Peas brinjal bhartha (Matar baingan bhartha),5.02,2.05,6.05
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),4.5,1.83,9.27
Crispy okra/Crispy lady's fingers (Karare bhindi),4.35,1.91,70.4
Beans foogath,3.26,2.03,9.22
Stuffed bittergourd (wet) (Bharwa karele),4.68,1.36,15.24
Jackfruit/Kathal (dry),4.56,0.93,51.78
Yam fried (Zimikand/Suran fried),5.47,0.79,51.79
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",8.23,2.75,5.54
Vegetable jalfrezi,5.43,1.4,4.38
Vegetables stir fry ,3.19,1.04,1.47
Broccoli delight,2.34,2.49,2.48
Dhansak (vegetarian),7.28,3.32,4.18
Cauliflower basket,3.97,5.21,5.88
Stuffed bottle gourd (Stuffed ghiya/lauki),4.36,5.84,5.8
Ducheese potato,10.94,3.6,9.01
Roast potatoes ,14.52,1.53,2.35
Stuffed baked potatoes ,11.03,3.82,4.39
Potato nests,11.05,5.71,4.77
Parsley potato,13.81,1.49,6.28
Creamed spinach and mushroom,3.17,2.28,44.14
Fricassee of Mushroom,8.13,3.65,6.63
Cauliflower au gratin,9.13,4.45,10.2
Vegetable and cheese pie,8.76,4.03,8.28
Spinach souffle ,6.27,7.36,10.52
Beetroot and egg salad (Chukandar aur ande ka salad),3.4,3.36,6.45
Sour cream potato salad,9.05,2.89,8.13
Tossed green salad,3.82,1.33,3.24
Spring basket salad,11.61,3.36,11.3
Cucumber and yogurt salad (Kheere aur dahi ka salad),4.72,2.09,0.93
Chicken and tomato towers,2.36,6.9,6.99
Jellied sunshine fruit salad,4.21,5.85,0.85
Tomato aspic,5.02,6.87,0.26
Frozen frosty fruit salad (Phalon ka salaad),15.61,1.68,4.17
French dressing,3.68,0.32,79.65
Mayonnaise without eggs,3.98,2.13,33.84
Curd dressing ,8.03,5.59,2.9
Carrot raita (Gajar ka raita),7.19,4.14,2.19
Pumpkin raita (Kaddu ka raita),6.02,3.74,1.88
Mint and peanut raita (Pudinay aur moongfali ka raita),7.31,7.05,6.19
Spinach raita (Palak ka raita),5.06,3.95,1.86
Bathua raita,5.31,4.13,1.76
Pineapple raita (Ananas ka raita),8.62,3.9,2.02
Banana raita (Kele ka raita),13.51,4.13,2.07
Mango raita (Aam ka raita),8.23,3.9,2.14
Guava raita (Amarood ka raita),7.27,4.19,2.07
Grapes raita (Angoor ka raita),9.66,3.98,2.07
Bottle gourd kheer (Ghiya/Lauki kheer),10.0,2.7,3.86
Pumpkin kheer (Kaddu ki kheer),10.44,2.76,3.86
Apple kheer (Seb ki kheer),11.34,2.14,3.18
Caramel custard (baked),14.95,5.11,5.01
Vanilla ice cream without egg,14.21,2.69,18.15
Vanilla ice cream with egg,11.71,4.16,17.02
Strawberry ice cream,12.26,4.15,16.96
Chocochip ice cream,16.75,4.23,17.93
Choconut ice cream,23.13,5.04,18.49
Pear chocholate sunday,15.02,2.08,13.11
Chocolate sauce,43.21,1.91,10.39
Coffee ice cream,14.09,3.15,9.43
Coffee pear alaska,19.36,2.88,13.22
Crunchy butterscotch,19.92,3.11,20.99
Peach melba ice cream,16.31,2.06,14.51
Vanilla ice cream with apples in hot cherry sauce,22.75,1.73,11.45
Grape and orange whip,6.72,1.41,2.62
Honey banana cream,13.64,2.78,6.68
Raspberry bavarian cream,17.82,3.34,7.88
Fruit delight,9.11,2.09,7.09
Creamy chocolate mousse,9.53,6.85,18.16
Cold lemon souffle,15.62,5.89,9.78
Cold orange souffle,16.27,5.94,9.82
Cold pineapple souffle,16.85,6.23,10.39
Cold vanilla souffle,16.29,6.22,10.32
Cold chocolate souffle,17.22,6.37,10.86
Stewed fruit (with pear),18.22,0.25,0.32
Apricot fool,33.64,1.54,11.35
Pavlova,21.84,1.84,12.29
Apple crumb pudding,35.17,1.54,8.87
Steamed cake with chocolate sauce,29.06,4.49,19.01
Hot lemon souffle,16.31,5.29,7.93
Gulab jamun with milk powder,28.24,0.85,40.15
Chum chum,28.27,1.52,1.92
Dil bahar,28.27,1.52,1.92
Rasbhari,28.27,1.52,1.92
Rajbogh,28.16,1.71,2.28
Rasgulla,25.79,1.38,1.75
Rasmalai,29.17,1.61,2.11
Khoa coconut burfi,36.55,9.98,26.01
Danedar burfi,12.33,3.24,4.72
Semolina burfi (Suji/Rava burfi),47.1,3.47,16.86
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),17.02,1.75,12.66
Khoa ladoo,34.43,12.21,24.09
Wheat and gram flour ladoo (Atta besan ladoo),50.5,9.38,29.86
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),48.02,5.44,25.45
Sesame chickpeas brittle (Til aur channe ki chikki),50.49,8.5,4.66
Murmura chikki,59.59,2.12,0.32
Masala onion pakora/pakoda (Pyaaz ke pakode),6.48,2.05,57.61
Masala green chilli pakora/pakoda (Hari mirch kay pakode),5.55,2.22,71.01
Chicken pakora/pakoda,4.55,6.03,60.98
Fish pakora/pakoda,4.55,5.97,59.52
Paneer cutlet,7.62,4.59,69.38
Sago cutlet/vadas (Sabudana cutlet/vadas),11.23,0.56,56.97
Poshtik cutlet,7.39,2.0,50.94
Egg cutlet (Anda cutlet),5.77,2.45,60.25
Minced meat cutlet,5.61,5.1,54.47
Vegetable samosa,13.22,2.21,42.22
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),9.7,4.39,76.32
Masala urad dal vada,9.93,4.32,71.62
Khaman (dhokla),5.36,1.92,2.8
Instant dhokla,24.11,7.66,9.37
Tomato ginger chutney (Tamatar adarak ki chutney),9.11,1.05,0.32
Mint tomato chutney (Pudinay aur tamatar ki chutney),8.22,1.53,0.36
Coriander chutney (Hare dhaniye ki chutney),8.16,1.38,0.37
Gooseberry chutney (Amla chutney),8.83,1.44,0.62
Walnut chutney (Akhrot ki chutney),8.91,9.44,33.46
Saunth/Sonth chutney with ginger,20.62,0.28,0.11
Gun powder chutney,47.65,21.55,2.67
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,36.72,12.88,15.88
Curd mint dip ,9.11,4.82,2.44
Curd vegetable dip,6.04,3.88,1.94
Mayonnaise vegetable dip,4.8,3.01,23.44
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),20.51,4.03,6.31
Tomato sandwich (grilled),21.29,6.26,9.39
French sandwich (toasted),14.82,6.82,11.51
Peanut butter cucumber sandwich,29.76,9.04,10.56
Mint and peanut sandwich,31.83,7.18,13.88
Spicy chutney sandwich,34.03,8.74,9.58
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),22.62,12.58,16.77
Rolled sandwich,34.69,6.45,15.29
Ribbon sandwich,24.76,6.26,13.37
Checker board sandwich,25.94,7.37,24.65
Submarine sandwich,13.6,6.09,15.32
Cheese open sandwich,28.42,9.84,14.24
Sunset and sunrise open sandwich,18.89,8.58,15.14
Danish luncheon sandwich,17.77,9.03,10.1
Chicken and corn open sandwich,19.21,8.63,8.83
Chocolate sponge cake,39.54,9.13,5.51
Chocolate swiss roll,26.97,6.01,19.76
Lemon curd filling,26.41,3.43,12.58
Jam filling,46.15,0.0,0.0
Chocolate pastry,32.24,7.05,10.12
Assorted pastry,31.99,6.78,8.91
Orange gateau,27.01,4.78,6.02
Black forest gateau,30.57,5.94,8.58
Lemon cake,43.1,5.29,20.63
Dundee cake,41.4,7.78,22.7
Victorian sandwich cake,44.74,5.18,19.83
Chocolate eggless cake,43.45,6.66,13.19
Orange eggless cake,52.65,7.16,13.82
Chocolate glace icing,62.43,3.22,20.8
Butter icing,71.64,0.19,25.37
Chocolate butter icing,61.72,3.21,24.77
Almond biscuit (Badam ke biscuit),52.14,6.25,19.7
Orange biscuit,62.11,3.63,11.01
Gingerman biscuit,55.24,6.26,12.73
Coffee drops,43.06,7.57,27.16
Christmas biscuit,60.97,5.67,15.88
Christmas wreath biscuit,58.07,5.43,15.01
Christmas bell biscuit,60.79,5.66,15.84
Christmas star biscuit,74.54,3.54,10.04
Christmas tree biscuit,58.41,5.43,15.0
Chocolate cream shells,59.26,5.1,19.34
Jelly biscuit,55.24,4.23,19.33
Cherry and walnut cookies,59.35,5.63,18.75
Cheese straws,30.61,9.83,24.28
Butterfly biscuit,25.33,9.98,22.11
Flan pastry,47.84,6.72,25.04
Fruit flan,34.71,3.3,12.48
Orange cream flan,36.16,4.73,13.59
Fruit puree tart,30.42,3.35,16.83
Apple banana pie,32.12,3.13,11.39
Lemon chiffon pie,27.63,4.88,14.52
Orange chiffon pie,23.14,3.89,11.16
Cream buns,14.16,4.45,15.81
Savoury puffs,10.8,9.51,15.24
Choux swans,14.92,4.35,15.6
Potato aigrettes,8.01,2.35,54.24
Cream horns,23.12,3.42,33.55
Savoury cheese horns,21.38,5.66,20.71
Paneer patties,22.79,7.6,23.96
Vegetable patties ,20.98,4.01,17.74
Pearl millet infant food (Bajra shishu aahaar),62.1,11.98,6.62
Sajina,66.87,10.81,3.03
Cereal mix ,21.84,3.32,2.02
Pulse mix,16.0,3.16,0.54
Shishu ahar,17.42,2.61,1.43
Cereal pulse mix with amylase rice flour,27.8,4.27,2.74
Banana groundnut paste/puree,36.15,4.27,5.45
Rice dal porridge (Chawal dal ki khichdi/khichri),65.04,10.8,8.33
Lentils and semolina porridge (Dal suji porridge/daliya),23.19,3.26,1.06
Spinach khichri (Palak khichri/khichdi),17.35,3.43,1.91
Vegetable mix,36.02,4.7,0.94
Lentils and wheat porridge (Dal wheat porridge/daliya ),8.36,2.71,0.94
Maize porridge,15.64,2.14,1.89
Spinach peanut burfi (Palak aur mungfali ki burfi),13.59,3.36,4.39
Split bengal gram burfi/fudge (Channa dal burfi),54.63,4.65,7.09
Chickpea flour cookies (Sweet besan rounds/cookies),39.64,4.29,3.42
Pearl millet mathri (Bajra mathri),7.42,1.82,83.12
Sesame biscuit (Til ke biscuit),53.65,8.27,19.34
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),8.68,4.05,67.19
Poshtik namak paras,19.52,6.49,56.58
Soya chikki,62.89,7.18,15.51
Besan bathua chilla/cheela,40.65,11.48,18.57
Wheat flour and nuts ladoos (Atta nuts ladoos),44.31,9.46,19.19
Gram flour and semolina dhokla (Besan suji dhokla),25.92,8.52,7.1
Atta dal burfi ,40.64,6.66,12.47
Soya roti,40.03,9.18,9.23
Poshtik khichdi/khichri,15.64,3.04,1.88
Namkeen daliya,49.32,8.29,7.99
Sprouts upma ,44.96,9.5,10.44
Semolina idli (Suji/Rava idli),33.67,9.34,3.47
Poshtik chilla/cheela,27.47,4.85,3.04
Stuffed bittergourd (dry) (Bharwa karela),2.49,1.29,22.38
Cauliflower potato canjee,2.63,0.57,0.39
Creamed spinach,4.44,5.18,6.39
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),9.18,1.93,2.8
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),9.33,1.93,2.75
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),9.15,1.95,2.75
Woodapple juice (Bel ka sharbat),6.51,0.63,0.7
Sattu drink,5.16,0.56,0.14
Apple and honey sorbet (Seb aur shehad ka sharbat),30.74,0.15,0.29
Thandai,9.13,3.59,5.89
Cucumber sharbat (Kheere ka sharbat),6.64,0.26,0.06
Apple oats chia seed smoothie,13.07,3.49,2.48
Nannari sharbat,23.62,0.01,0.01
Semolina milk drink (Thari kanji),6.93,0.98,1.36
Saffron milk (Kesariya doodh),12.64,3.17,4.57
Black rice kheer (Chak-hao kheer),22.93,4.37,4.91
Coconut kheer (Nariyal ki kheer),14.42,3.4,10.55
Apple sago payasam (Seb aur sabudana ki kheer),14.4,3.13,7.66
Kesari bath,31.38,2.4,12.59
Putharekulu,59.61,3.66,7.55
Mango malpua,12.84,1.65,30.67
Mango vanilla custard,18.41,3.43,7.04
Kiwi granola pudding,32.33,5.6,15.36
Oats burfi,62.47,8.89,17.27
Lotus seed halwa (Kamal gattay ka halwa),39.56,7.79,20.69
Amaranth ladoo (Rajgira ladoo),51.33,10.12,22.7
Chhena poda,33.64,13.68,17.94
Sweet couscous dessert,29.69,3.81,7.69
Sweetened yogurt (Shrikhand),16.02,5.27,2.89
Thickened sweetened milk (Rabri),10.55,3.52,5.35
Gram flour halwa (Besan halwa),25.78,5.88,17.3
Prawn sandwich,11.89,10.36,9.27
Watercress sandwich,28.03,5.17,11.47
Fish sandwich ,10.09,4.72,10.37
Kidney bean sandwich with cottage cheese,18.86,9.85,6.84
Finger millet biscuit (Ragi biscuit),52.69,4.03,25.79
Buttermilk biscuit,34.93,5.76,17.5
Lemon cookies,42.19,5.63,23.02
Sweet potato biscuit (Shakarkand ke biscuit),38.13,5.14,13.31
Raspberry shortbread cookies,61.25,3.0,21.25
Pumpkin cookies ,44.69,2.51,3.93
Greenpea cookies,23.07,6.53,4.24
Sunflower cookies,40.06,9.49,36.28
Cardamom cookies (Elaichi cookies),53.99,5.1,19.12
Hazelnut cookies,39.44,6.25,34.97
Milk cookies,48.43,10.49,24.96
Cranberry cookies,36.39,3.92,12.66
Olive biscuit,55.01,3.2,23.75
Tutti fruitti biscuit,53.12,5.21,17.9
Peach blueberry preserves,45.76,0.53,0.2
Pear preserves (Naashpati ka murabba),25.67,0.25,0.19
Starfruit preserves ,33.62,0.24,0.12
Gooseberry pickle (Amla ka achaar),7.61,1.55,27.61
Lotus stem pickle (Kamal kakdi ka achar),20.07,1.44,1.6
Date pickle (Khajoor ka achaar),34.66,1.68,4.21
Garlic pickle (Lahasun ka achar),9.75,3.72,39.88
Fermented bamboo shoot pickle (Mesu pickle),1.73,1.58,5.59
Sweet peach pickle (Aadoo ka achaar),37.01,0.46,0.2
Pickled mustard greens ,1.05,1.51,0.22
Small onion pickle ,2.76,1.65,0.64
Green tomato pickle (Haray tamatar ka achaar),2.87,1.23,19.67
Pickled cabbage ,2.56,0.39,0.14
Coconut pickle (Nariyal ka aachar),11.53,3.02,51.71
Potato pickle (Aloo ka achaar),7.87,2.07,36.46
Mango murabba candy,77.32,0.27,0.05
Afghani chicken,1.95,15.66,9.07
Fish orly,4.27,5.87,58.18
Hariyali Fish Tikka,2.21,14.01,9.41
Chicken manchurian,6.06,9.53,11.96
Handi chicken,1.49,12.32,12.46
Lemon chicken,0.55,20.2,9.66
Lemon butter fish,0.75,16.38,10.26
Baked eggs in tomato sauce,3.78,4.92,5.22
Egg in a pepper,0.17,12.64,8.68
Spinach mushroom scrambled egg (Palak mushroom bhurji),0.59,13.28,11.51
Corn omelette/omlet,1.57,11.37,12.89
Cajun chicken,1.94,12.69,13.99
Paaner do pyaza,3.41,4.22,10.87
Cabbage manchurian (Pattagobhi manchurian),4.85,0.64,22.48
Gobi 65,3.59,0.56,29.11
Paneer lababdar,3.37,3.98,8.46
Roasted cauliflower steak,2.02,2.05,6.7
Sauteed radishes with green beans,6.04,2.41,6.61
Garlic chutney/Poondu chutney (Lahasun ki chutney),20.44,3.34,17.55
Schezwan chutney,10.79,3.33,17.72
Onion chutney (Pyaaz ki chutney/Vengaya chutney),13.52,2.97,8.38
Dates chutney (Khajoor ki chutney),21.69,1.07,1.12
Chicken salad,1.3,15.33,30.26
Macaroni salad,21.63,5.02,17.78
Cabbage raita (Pattagobhi raita),5.25,3.24,5.76
Pomegranate raita (Anaar ka raita),7.15,4.05,3.24
Onion raita (Pyaaz ka raita),7.86,4.86,2.43
Green chilli raita (Hari mirch ka raita),7.66,5.58,2.92
Kale salad,5.01,4.86,15.33
Spinach and paneer souffle ,9.64,7.56,13.49
Masala souffle ,8.02,6.38,7.37
Chicken and cheese souffle,3.47,9.07,14.74
Tamarind chutney (Chintapandu pachadi/Puli chutney),25.07,0.88,0.48
Pav bhaji masala,29.15,9.13,10.96
Green chutney,10.01,5.42,1.6
Sago khitchdi/khichri (Sabudana khitchdi/khichri),22.41,2.72,10.1
Gram flour chilla/cheela (Besan chilla/cheela),21.03,7.8,2.85
Vegetable namkeen jave,18.98,2.93,2.51
Khakhra,27.66,4.78,5.32
Moong bean dosa (Pesarattu),31.91,12.32,11.67
Methi thepla,41.34,8.98,15.95
Rice puttu (Ari puttu),11.82,1.26,3.13
Buckwheat pancake (Khura),27.28,2.91,16.43
Quinoa khichdi/khichri,8.83,3.18,1.59
Khakhra chaat,16.64,4.52,30.65
Banana appam,20.06,1.17,42.53
Veg manchurian,6.82,0.89,61.65
Pav bhaji,11.99,2.66,4.32
Rice murukku,33.29,5.41,48.22
Bhel puri ,16.47,3.52,47.91
Semolina dhokla (Suji/Rava dhokla),30.86,5.44,5.2
Spicy corn chaat ,11.45,4.61,46.55
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),24.0,2.34,54.41
Banana chips (Kele ke chips),7.32,0.37,70.46
Wheat cake,41.13,4.79,14.95
Mango cheesecake,20.06,2.39,7.3
Carrot cake (Gajar ka cake),35.98,5.6,10.27
Semolina cake (Suji/Rava cake),31.32,6.58,25.18
Finger millet cake (Ragi cake),38.93,3.96,12.27
Honey cake,49.04,3.08,14.7
Almond cardamom cake (Badam elaichi cake),34.53,7.18,21.36
Tutti frutti cake,52.94,4.49,12.68
Ham and Bean soup,4.18,10.61,4.15
Whey soup,6.26,3.45,3.34
Bottle gourd soup (Ghiya/Lauki soup),1.16,0.45,1.79
Baked potato soup,5.85,5.73,11.21
Pumpkin soup,2.08,0.47,3.2
Sweet corn soup,3.56,0.99,1.63
Paneer soup,2.42,3.22,2.8
Curried Cauliflower soup,3.12,6.72,9.77
Millet soup,8.22,11.26,12.57
Lemon coriander soup,10.32,2.27,6.26
Garlic soup,6.99,2.38,17.62
Dal makhani,7.96,3.32,3.06
Dalma,15.04,4.91,4.58
Split bengal gram dal (Channa dal),9.99,4.15,4.62
Horsegram dal (Kulthi dal) ,8.21,2.91,1.13
Panchmel dal,10.71,4.63,5.36
Dal dhokli,8.55,2.96,2.47
Gujarati handvo ,31.86,8.24,4.8
Sev (Omapodi/Karapusa),12.87,5.12,60.08
Papdi,12.89,1.83,72.11
Jowar dosa,40.53,8.5,10.28
Bread roll,16.12,2.85,40.25
Soya seekh kebab,10.0,5.4,5.88
Classic seasoned black beans,7.66,8.01,8.28
Maa chaane ki dal,43.11,19.8,9.5
Garlic chickpea soup (Lahasun aur chane ka shoraba),13.92,4.45,2.01
White sauce (thin),6.58,3.31,8.41
White sauce (medium),7.98,3.36,11.76
White sauce (thick),10.24,3.43,17.19
Cheese sauce,7.08,7.68,15.12
Egg sauce,5.88,5.97,11.08
Mushroom sauce,7.31,3.39,10.51
Mustard sauce,8.29,3.98,12.17
Brown sauce,5.38,11.92,23.67
Classic italian pasta,4.4,0.57,2.45
Pasta spinach sauce,1.76,1.76,7.9
Pasta cheese sauce,9.0,4.33,10.84
Mayonnaise,1.65,1.86,84.52
Low calorie quick mayonnaise,4.71,1.41,24.35
Thousand island dressing,4.49,1.37,42.87
Curd dip,7.95,5.04,3.36
Short crust pastry,44.72,6.11,23.98
Choux pastry,16.2,5.55,14.96
Flaky pastry,33.61,4.69,31.99
Sponge cake ,44.63,9.18,4.74
Glace icing,86.31,0.01,0.01
Royal icing,86.53,1.74,0.02
American frosting,67.48,1.05,0.01
Gum icing,53.19,5.94,0.0
Channa murmura premix,72.59,10.59,3.28
Cracked wheat and green gram dal premix (Dalia moong dal premix),64.75,15.89,5.11
Rice flakes and roasted channa ,71.94,10.57,2.94
Spinach soup in milk ,3.98,2.89,3.2
Vegetable soup,7.6,2.22,1.55
Mashed banana with milk,14.62,2.51,2.99
Poha with curd (Poha aur dahi),26.72,6.01,4.65
Potato with curd,12.01,3.19,1.33
Sweet wheat porridge (Sweet dalia),23.77,5.11,2.79
Vegetable khichdi/khichri,19.57,5.61,4.53
Moong dal mixture,33.93,4.62,1.0
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),22.35,7.56,5.52
Stewed apple,22.49,0.17,0.37
Lemon squash (Nimbu ka squash),48.88,0.15,0.06
Orange squash (Santre ka squash),50.88,0.22,0.04
Lichi squash,51.96,0.3,0.08
Mango squash (Aam ka squash),50.96,0.17,0.17
Pineapple squash (Ananas ka squash),51.34,0.16,0.05
Lemon and ginger squash (Nimbu aur adrak ka squash),44.06,0.54,0.21
Apple jam (Seb ka murabba),48.56,0.14,0.32
Plum jam (Aloo bukhara jam),46.2,0.31,0.19
Pineapple jam ,38.27,0.32,0.15
Guava jelly (Amrood ki jelly),28.18,1.11,0.25
Orange marmalade (Santray ka murabba),25.94,0.66,0.13
Carrot murabba (Gajar ka murabba),45.6,0.32,0.16
Gooseberry marmalade (Amla murabba),32.34,0.14,0.03
Ginger candy (Adrak ki candy),50.38,0.69,0.27
Mango pickle (Aam ka achaar),8.11,1.6,17.89
Mixed vegetable pickle (Sabziyoon ka achaar),7.48,1.9,19.68
Sweet lemon pickle (Neembu ka meetha achaar),16.87,1.22,0.21
Plum chutney (Aloo bukhara ki chutney),44.95,0.47,0.29
Raw mango chutney (Kachhe aam/Kairi ki chutney),49.94,0.51,0.16
Tomato sauce,7.23,0.81,0.27
Tomato puree,3.68,0.75,0.25
Garam masala,26.2,9.89,10.97
Chat masala,23.87,8.19,9.91
Kashmiri masala,23.16,8.26,31.03
Rasam powder (Rasam masala),25.19,12.04,11.8
Sambar powder (Sambar masala),23.38,12.5,15.58
Tartare sauce,2.96,1.44,66.12
Barbeque sauce,20.46,0.96,4.51
Bread sauce,8.69,3.46,7.05
Green chilli sauce,7.36,1.25,0.27
Home made plain noodles,44.5,6.21,3.56
Dal moong,4.92,2.2,1.62
Cumin seeds baghar (Jeera baghar/tadka),5.22,3.34,78.77
Onion tomato baghar (Pyaaz tamatar ka tadka),6.17,1.26,11.98
Mustard seeds baghar (Mustard seed tadka),10.45,4.73,54.3
Hot cherry sauce,67.95,0.13,0.07
Apple jelly (Seb ki jelly),39.37,0.1,0.21
Marmalade (Murabba),37.64,0.23,0.04
Plum squash (Aloo bukhara squash),55.51,0.16,0.1
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),2.14,0.85,0.24
Brinjal pickle (Baingan ka achaar),4.23,2.24,12.98
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),6.55,1.26,3.24
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),6.32,1.98,6.55
Tomato chutney (Tamatar ki chutney),31.85,0.97,6.01
Tomato ketchup,6.48,0.91,0.3
Bengal 5 Spice Blend (Panch Phoran),20.0,18.26,22.16
